Compound,SMILES,Ki(nM)b,IC50(nM)a,Log P
JTP-4819,O=C(CO)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)NCc1ccccc1,0.06 (0.023 - 0.087),0.2 (0.16 - 0.27),0.2
5ac,O=C(NCc1ccccc1)C1=CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)CO,0.15 (0.080 - 0.220),0.3 (0.18 - 0.56),0.6
5bd,O=C(NCc1ccccc1)C1=CCC[C@@H]1C(=O)N1CCC[C@H]1C(=O)CO,,52 (39 - 71),
6,C(#N)[C@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1,0.02 (0.014 - 0.033),0.2 (0.17 - 0.29),1.6
7ac,C(#N)[C@H]1CCCN1C(=O)[C@@H]1CCC=C1C(=O)CCCc1ccccc1,0.03 (0.014 - 0.043),0.2 (0.12 - 0.36),2.4
7bd,C(#N)[C@@H]1CCCN1C(=O)[C@H]1CCC=C1C(=O)CCCc1ccccc1,,5.0 (3.9 - 6.5),
SUAM-1221,O=C([C@@H]1CCCN1C(=O)CCCc1ccccc1)N1CCCC1,,2.2 (1.9 - 2.5),1.8
8,O=C(CCCc1ccccc1)C1=CCCC1C(=O)N1CCCC1,,1.3 (0.7 - 2.7),
9,O=C(NCc1ccccc1)C1=CCCC1C(=O)N1CCCC1,,9.0 (5.5 - 15),
11,O=C(NCc1ccccc1)C1=C(C(=O)N2CCCC2)CCC1,,230 (160 - 330),
