Co. No.,SMILES,Enzyme activity pIC50,Cellular activity pIC50,Solubility Score
1,Cc1ccc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3)CC2)cc1,6.754,5.328,1
3,Cc1ccc(NC(=O)N2CCN(c3ccc(NC(=O)CS)cc3)CC2)cc1,5.332,<5,
2,Cc1ccc(NC(=O)N2CCN(c3ccc(C(=O)NCCO)cc3)CC2)cc1,<5,<5,
8,Cc1ccc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3[N+](=O)[O-])CC2)cc1,>5,,
9,O=C(NO)c1ccc(N2CCN(C(=O)Nc3ccc(F)cc3F)CC2)c([N+](=O)[O-])c1,>5,,
12,O=C(NO)c1cc([N+](=O)[O-])ccc1N1CCN(C(=O)Nc2cccc(C(F)(F)F)c2)CC1,5.37,,
13,CC(=O)c1ccc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3[N+](=O)[O-])CC2)cc1,5.686,,
15,O=C(NO)c1ccc(N2CCN(C(=O)Nc3ccc(Oc4ccccc4)cc3)CC2)c([N+](=O)[O-])c1,>5,,
16,Cc1cccc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3[N+](=O)[O-])CC2)c1C,>5,,
17,O=C(NO)c1ccc(N2CCN(C(=O)Nc3cccc(Cl)c3)CC2)c([N+](=O)[O-])c1,>5,,
18,Cc1ccc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3[N+](=O)[O-])CC2)c(C)c1,>5,,
20,O=C(NO)c1ccc(N2CCN(C(=O)Nc3ccc(F)c(F)c3)CC2)c([N+](=O)[O-])c1,>5,,
21,COc1cccc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3[N+](=O)[O-])CC2)c1,>5,,
22,O=C(NO)c1ccc(N2CCN(C(=O)Nc3cccc4ccccc34)CC2)c([N+](=O)[O-])c1,5.614,,
25,CC(C)c1ccccc1NC(=O)N1CCN(c2ccc(C(=O)NO)cc2[N+](=O)[O-])CC1,>5,,
26,Cc1cccc(C)c1NC(=O)N1CCN(c2ccc(C(=O)NO)cc2[N+](=O)[O-])CC1,>5,,
27,O=C(NO)c1ccc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c([N+](=O)[O-])c1,>5,,
30,Cc1cccc(C)c1NC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2C(=O)NO)CC1,>5,,
33,N#Cc1cccc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3[N+](=O)[O-])CC2)c1,>5,,
35,O=C(NO)c1ccc(N2CCN(C(=O)Nc3cccc(C(F)(F)F)c3)CC2)c([N+](=O)[O-])c1,>5,,
37,O=C(NO)c1ccc(N2CCN(C(=O)Nc3ccccc3OC(F)(F)F)CC2)c([N+](=O)[O-])c1,>5,,
38,COc1ccc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3[N+](=O)[O-])CC2)c(OC)c1,>5,,
39,O=C(NO)c1ccc(N2CCN(C(=O)Nc3c(F)cccc3F)CC2)c([N+](=O)[O-])c1,>5,,
40,Cc1ccccc1NC(=O)N1CCN(c2ccc(C(=O)NO)cc2[N+](=O)[O-])CC1,>5,,
41,O=C(NO)c1ccc(N2CCN(C(=O)Nc3ccccc3F)CC2)c([N+](=O)[O-])c1,<5,,
44,COc1cc(NC(=O)N2CCN(c3ccc(C(=O)NO)cc3[N+](=O)[O-])CC2)cc(OC)c1,>5,,
4,N(O)C(=O)c1cnc(N2CCN(C(=O)N(c3ccccc3)c3ccccc3)CC2)nc1,7.127,6.114,
48,ONC(=O)c1cnc(N2CCN(C(=O)N(C)c3ccccc3)CC2)nc1,7.163,6.141,
5,O=C(NCC1CCN(c2ncc(C(=O)NO)cn2)CC1)Nc1ccc(-c2ccccc2)cc1,7.65,6.148,2
6,O=C(NO)c1cnc(N2CCN(C(=O)Nc3ccc(-c4ccccc4)cc3)CC2)nc1,7.728,6.558,3
