Ex,Nome,pKi_medio,SMILES
1,3-cloro-4-fluor-5-[6-(piridin-2-il)pirimidin-4-il]benzonitrila,8.91,N#Cc1cc(Cl)c(F)c(-c2cc(-c3ccccn3)ncn2)c1
2,3-cloro-5-[6-(piridin-2-il)pirimidin-4-il]benzonitrila,8.52,N#Cc1cc(Cl)cc(-c2cc(-c3ccccn3)ncn2)c1
3,6-[6-(3-cloro-5-cianofenil)pirimidin-4-il]piridina-3-carbonitrila,9.16,N#Cc1ccc(-c2cc(-c3cc(Cl)cc(C#N)c3)ncn2)nc1
4,3-metil-5-[6-(piridin-2-il)pirimidin-4-il]benzonitrila,8.56,Cc1cc(C#N)cc(-c2cc(-c3ccccn3)ncn2)c1
5,3-cloro-5-[6-(piridazin-3-il)pirimidin-4-il]benzonitrila,8.01,N#Cc1cc(Cl)cc(-c2cc(-c3cccnn3)ncn2)c1
6,"3-(4,4'-bipirimidin-6-il)-5-clorobenzonitrila",8.27,N#Cc1cc(Cl)cc(-c2cc(-c3ccncn3)ncn2)c1
7,3-metil-5-[6-(1H-pirazol-1-il)pirimidin-4-il]benzonitrila,8.39,Cc1cc(C#N)cc(-c2cc(-n3cccn3)ncn2)c1
8,3-cloro-5-[6-(1H-pirazol-1-il)pirimidin-4-il]benzonitrila,8.4,N#Cc1cc(Cl)cc(-c2cc(-n3cccn3)ncn2)c1
9,3-cloro-4-fluor-5-[6-(1H-pirazol-1-il)pirimidin-4-il]~benzonitrila,9.3,N#Cc1cc(Cl)c(F)c(-c2cc(-n3cccn3)ncn2)c1
10,3-cloro-4-fluor-5-[4-(1H-pirazol-1-il)piridin-2-il]benzonitrila,8.37,N#Cc1cc(Cl)c(F)c(-c2cc(-n3cccn3)ccn2)c1
11,3-cloro-4-fluor-5-[2-(1H-pirazol-1-il)piridin-4-il]benzonitrila,8.16,N#Cc1cc(Cl)c(F)c(-c2ccnc(-n3cccn3)c2)c1
12,3-cloro-4-fluor-5-[6-(4-il)pirimidin-4-il]benzonitrila,8,N#Cc1cc(Cl)c(F)c(-c2cc(-n3cc(F)cn3)ncn2)c1
13,3-metil-5-(6-([²H₃]-1H-pirazol-1-il)pirimidin-4-il) benzonitrila,8.24,[2H]c1nn(-c2cc(-c3cc(C)cc(C#N)c3)ncn2)c([2H])c1[2H]
14,3-cloro-5-(6-([²H₃]-1H-pirazol-1-il)pirimidin-4-il) benzonitrila,8.56,[2H]c1nn(-c2cc(-c3cc(Cl)cc(C#N)c3)ncn2)c([2H])c1[2H]
15,3-cloro-4-fluor-5-(6-([²H₃]-1H-pirazol-1-il)pirimidin-4-il) benzonitrila,9.08,[2H]c1nn(-c2cc(-c3cc(C#N)cc(Cl)c3F)ncn2)c([2H])c1[2H]
16,3-(fluormetil)-5-[6-(1H-pirazol-1-il)pirimidin-4-il]benzonitrila,8.17,N#Cc1cc(CF)cc(-c2cc(-n3cccn3)ncn2)c1
17,3-cloro-5-[6-(5-fluorpiridin-2-il)pirimidin-4-il]benzonitrila,9.27,N#Cc1cc(Cl)cc(-c2cc(-c3ccc(F)cn3)ncn2)c1
18,"5-[6-(5-fluorpiridin-2-il)pirimidin-4-il]benzeno-1,3-dicarbonitrila",8.78,N#Cc1cc(C#N)cc(-c2cc(-c3ccc(F)cn3)ncn2)c1
19,3-cloro-5-[6-(5-metilpiridin-2-il)pirimidin-4-il]benzonitrila,8.61,Cc1ccc(-c2cc(-c3cc(Cl)cc(C#N)c3)ncn2)nc1
20,3-cloro-5-[6-(5-cloropiridin-2-il)pirimidin-4-il]benzonitrila,8.77,N#Cc1cc(Cl)cc(-c2cc(-c3ccc(Cl)cn3)ncn2)c1
21,"5-[6-(piridin-2-il)pirimidin-4-il]benzeno-1,3-dicarbonitrila",7.98,N#Cc1cc(C#N)cc(-c2cc(-c3ccccn3)ncn2)c1
22,3-cloro-4-fluor-5-[6-(5-fluorpiridin-2-il)pirimidin-4-il]benzonitrila,9.05,N#Cc1cc(Cl)c(F)c(-c2cc(-c3ccc(F)cn3)ncn2)c1
23,3-metil-5-[6-(5-metilpiridin-2-il)pirimidin-4-il]benzonitrila,8.67,Cc1ccc(-c2cc(-c3cc(C)cc(C#N)c3)ncn2)nc1
24,3-[6-(5-fluorpiridin-2-il)pirimidin-4-il]-5-(metóximetil)benzonitrila,8.57,COCc1cc(C#N)cc(-c2cc(-c3ccc(F)cn3)ncn2)c1
25,3-[6-(5-fluorpiridin-2-il)pirimidin-4-il]-5-metóxi benzonitrila,8.37,COc1cc(C#N)cc(-c2cc(-c3ccc(F)cn3)ncn2)c1
