Co.,SMILES,ROS1 pIC50,BaF3-ROS1-IL3 pIC50,BaF3-ROS1+IL3 pIC50,Ba/F3 Ros1 L2026M (-IL-3) pIC50,Ba/3 Ros1 G2032R (-IL-3) pIC50,HCC-78 PROL pEC50, HCC78 pRos pIC50
Co. 16,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NC(=O)CC4)cc2)cc1,69,70,<5,73,,70,"~5,4"
Co. 13,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NC(=O)C4)cc2)cc1,68,68,<5,67,,63,68
Co. 17,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCCC4)cc2)cc1,74,71,<5,69,,70,76
Co. 22,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3N(C)C(=O)CC4)cc2)cc1,63,64,<5,,,,
Co. B,Fc1cc(OCc2ccc(C(C)C)cc2)ccc1-c1c(-c2ccncc2)nn2cccnc12,76,72,<5,,,,
Co. A,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4cccnc34)cc2)cc1,71,68,<5,,,,
Co. 18,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCCC4)c(F)c2)cc1,77,76,<5,78,,64,
Co. H,c1(C(=O)OCC)ccnc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn12,63,58,<5,,,,
Co. 25,OCC1CCNc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn21,69,70,<5,68,,61,
Co. 1,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCC4)cc2)cc1,69,70,53,"~6,7",64,61,
Co. E,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4ccc(=O)[nH]c34)cc2)cc1,72,71,<5,69,,63,
Co. G,c1(C(=O)OC)ccn2nc(-c3ccncc3)c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c2n1,60,<5,<5,,,,
Co. 19,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3N(C)CCC4)cc2)cc1,70,67,<5,64,,61,
Co. 24,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NC(CO)CC4)cc2)cc1,72,75,51,76,,71,
Co. 26,CNC(=O)C1CCNc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn21,75,71,<5,67,,68,
Co. J,CNC(=O)c1ccnc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn12,63,68,<5,68,,57,
Co. 20,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3N(CCO)C(=O)CC4)cc2)cc1,65,68,<5,,,,
Co. 10,OCCN1CCn2nc(-c3ccncc3)c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c21,69,71,<5,68,64,56,
Co. 21,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3N(CCO)CCC4)cc2)cc1,72,74,<5,69,,,
