Co.,SMILES,ROS1 pIC50,BaF3-ROS1-IL3pIC50,BaF3-ROS1+IL3pIC50,Ba/F3 Ros1 L2026M(-IL-3) pIC50,Ba/3 Ros1 G2032R(-IL-3) pIC50,HCC-78 PROL pEC50,HCC78 pRos pIC50
Co. 3,c1(C#N)cc(OCc2ccc(C(C)C)cc2)ccc1-c1c(-c2ccncc2)nn2c1NCC2,72,72,<5,66,,,
Co. 6,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCC4)cc2)cc1C#N,67,67,<5,64,,,
Co. 4,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCC4)cn2)cc1,70,71,59,71,,62,
Co. 5,Fc1cc(OCc2ccc(C(C)C)cc2)ccc1-c1c(-c2ccncc2)nn2c1NCC2,"~6,9",71,<5,<5,67,61,
Co. 7,c1cc(-c2nn3c(c2-c2ccc(OCc4ccc(C5CC5)cc4)cc2)NCC3)ccn1,66,68,<5,75,62,62,
Co. 8,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCC4)cc2)c(F)c1F,58,63,54,75,,57,
Co. 14,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncn4)nn4c3NCC4)cc2)cc1,64,65,"~5,13",66,,60,
Co. 15,Fc1cc(OCc2ccc(C(C)C)cc2)ccc1-c1c(-c2ccncn2)nn2c1NCC2,66,68,<5,<5,,62,
Co. 2,Fc1cc(OCc2ccc(C(C)C)cc2)c(F)cc1-c1c(-c2ccncc2)nn2c1NCC2,76,"~8,03",<5,77,,79,
Co. 9,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCC4)cc2)cc1CC(O)CO,72,73,<5,55,,63,
Co. 27,CNCC1CCNc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn21,63,63,"~5,2",55,,,
Co. 12,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3N(CCCN)CC4)cc2)cc1,63,63,"~5,35",6,,58,
Co. C,Brc1ccc(OCc2ccc(C(C)C)cc2)cc1F,75,75,<5,75,,67,
Co. 23,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NC(CO)CC4)c(F)c2)cc1,75,79,<5,78,,70,
Co. 11,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NC(CO)C4)cc2)cc1,66,70,56,68,,61,
