Comp. nr.,SMILES,pIC50
416,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCS4)CC1,8.587
27,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1C,8.527
174,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,8.49
506,Cc1cc2nc3c(cc2cc1C(=O)Cc1ccccc1)CCCS3,8.48
25,CCc1cnc2ccc(C(=O)C3CCC(OC)CC3)cc2c1,8.45
4,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1Cl,8.4
19,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1F,8.38
429,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCO4)CC1,8.38
424,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCC4)CC1,8.355
176,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCS4)CC1,8.33
210,CCc1cc2cc(C(=O)C3CCC(OC)CC3)c(C)cc2nc1Cl,8.315
114,CCCc1ccc2cc(C(=O)C3CCC(OC)CC3)ccc2n1,8.28
488,COC1CCC(F)(C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,8.27
504,Cc1cc2nc3c(cc2cc1C(=O)Cc1ccccc1)CCCO3,8.27
477,O=C(Cc1ccccc1F)c1ccc2nc3c(cc2c1)CCCO3,8.25
432,O=C(Cc1ccccc1)c1ccc2nc3c(cc2c1)CCCO3,8.237
214,CCc1cc2cc(C(=O)C3CCC(OC)CC3)c(C)cc2nc1C,8.233
465,O=C(Cc1ccsc1)c1ccc2nc3c(cc2c1)CCCO3,8.145
135,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1N,8.14
420,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCC4)CC1,8.135
292,CCCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1C,8.13
427,O=C(c1ccc2nc3c(cc2c1)CCS3)C1CCCCC1,8.115
208,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCN4C)CC1,8.095
419,CCc1cc2cc(C(=O)C3CCC(OC)CC3)c(C)cc2[nH]c1=O,8.065
455,O=C(Cc1ccccc1)c1ccc2nc3c(cc2c1)CC(C)O3,8.055
418,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCS4)CC1,8.045
497,O=C(CC1CC2CCC1C2)c1ccc2nc3c(cc2c1)CCCO3,8.025
439,O=C(Cc1ccccc1)c1ccc2nc3c(cc2c1)CCCS3,8.023
237,CCc1cc2cc(C(=O)Cc3ccccc3)ccc2nc1C,8.01
499,O=C(Cc1ccccc1F)c1ccc2nc3c(cc2c1)CCCS3,8
