编号,SMILES,IUPAC名称,USP7Ub-RhopreInc(IC50)µmol,USP7Ub-Rho110Fluor(IC50)µmol,,,,
1,Cc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-5-(4-羟基苯基)-4-甲基-3-吡啶基]苯酚,,7.7,,,,
2,CCc1c(-c2cccc(NC(C)=O)c2)cnc(N)c1-c1cccs1,4-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯酚,4.6,3,,,,
3,CC(C)c1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-5-(4-羟基苯基)-4-异丙基-3-吡啶基]苯酚,,197,,,,
4,COc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-5-(4-羟基苯基)-4-甲氧基-3-吡啶基]苯酚,,29.1,,,,
5,Nc1ncc(-c2ccc(O)cc2)c(C(F)(F)F)c1-c1ccc(O)cc1,4-[6-氨基-5-(4-羟基苯基)-4-(三氟甲基)-3-吡啶基]苯酚,7.1,6,,,,
6,CCCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-5-(4-羟基苯基)-4-丙基-3-吡啶基]苯酚,,35.2,,,,
7,CCc1c(-c2ccc(O)cc2F)cnc(N)c1-c1ccc(O)cc1,4-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]-3-氟-苯酚,,4.5,,,,
8,CCc1c(-c2cccc(NC(C)=O)c2)cnc(N)c1-c1ccc(O)cc1,N-[3-[6-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]乙酰胺,,45,,,,
9,Nc1ncc(-c2ccc(O)cc2)c(C2CC2)c1-c1ccc(O)cc1,4-[6-氨基-4-环丙基-5-(4-羟基苯基)-3-吡啶基]苯酚,,56.6,,,,
10,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(OC)cc1F,4-[6-氨基-4-乙基-5-(2-氟-4-甲氧基-苯基)-3-吡啶基]苯酚,13,7.5,,,,
11,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(O)cc1F,4-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]-3-氟-苯酚,,>20,,,,
12,CCc1c(-c2cccc(CN(C)C)c2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-5-[3-[(二甲基氨基)甲基]苯基]-4-乙基-3-吡啶基]苯酚,,23.9,,,,
13,CCc1c(-c2cccc(NC(C)=O)c2)cnc(N)c1-c1cccs1,N-[3-[6-氨基-4-乙基-5-(2-噻吩基)-3-吡啶基]苯基]乙酰胺,,>63.3,,,,
14,CCc1c(-c2cccc(NC(C)=O)c2)cnc(N)c1-c1ccc2cn[nH]c2c1,N-[3-[6-氨基-4-乙基-5-(1H-吲哚-6-基)-3-吡啶基]苯基]乙酰胺,136,,,,,
15,CCCNc1ncc(-c2ccc(O)cc2)c(CC)c1-c1ccc(O)cc1,4-[4-乙基-5-(4-羟基苯基)-6-(丙基氨基)-3-吡啶基]苯酚,10.1,,,,,
16,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccccc1,4-[6-氨基-4-乙基-5-(苯基-3-吡啶基)苯酚,60.7,,,,,
17,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(C)c1,4-[6-氨基-4-乙基-5-(间甲苯基)-3-吡啶基]苯酚,>63.3,,,,,
18,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(F)c(F)c1,"4-[6-氨基-5-(3,4二氟苯基)-4-乙基-3-吡啶基]苯酚",>20,,,,,
19,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(C#N)c1,3-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯甲腈,9.9,,,,,
20,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(S(C)(=O)=O)cc1,4-[6-氨基-4-乙基-5-(4-甲基磺酰基苯基)-3-吡啶基]苯酚,>63.3,,,,,
21,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(NC(=O)OC(C)(C)C)cc1,N-[4-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]氨基甲酸叔丁酯,>20,,,,,
22,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(N2CCOCC2)c1,4-[6-氨基-4-乙基-5-(3-吗啉代苯基)-3-吡啶基]苯酚,>63.3,,,,,
23,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(CNC(=O)OC(C)(C)C)c1,N-[[3-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]甲基]氨基甲酸叔丁酯,>6.3,,,,,
24,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(COC)c1,4-[6-氨基-4-乙基-5-[3-(甲氧基甲基)苯基]-3-吡啶基]苯酚,>63.3,,,,,
25,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(COC)cc1,4-[6-氨基-4-乙基-5-[4-(甲氧基甲基)苯基]-3-吡啶基]苯酚,63.3++,,,,,
26,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(CN2CCOCC2)c1,4-[6-氨基-4-乙基-5-[3-(吗啉代甲基)苯基]-3-吡啶基]苯酚,145,,,,,
27,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(CC#N)c1,2-[3-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]乙腈,48.7,,,,,
28,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(N(C)C(=O)OC(C)(C)C)cc1,N-[4-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]-N-甲基-氨基甲酸叔丁酯,>20,,,,,
29,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cncc(C#N)c1,5-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]吡啶-3-甲腈,18.6,,,,,
30,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc(NS(C)(=O)=O)cc1,N-[4-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]甲磺酰胺,19.6,,,,,
31,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1cccc(NC(=O)OC(C)(C)C)c1,N-[3-[2-氨基-4-乙基-5-(4-羟基苯基)-3-吡啶基]苯基]氨基甲酸叔丁酯,>20,,,,,
32,CCc1c(-c2cncnc2)cnc(N)c1-c1ccc(O)cc1,4-(2-氨基-4-乙基-5-嘧啶-5-基-3-吡啶基)苯酚,69.9,,,,,
33,CCc1c(-c2ccccc2C)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(邻甲苯基)-3-吡啶基]苯酚,>63.3,,,,,
34,CCc1c(-c2ccc(F)cc2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(4-氟苯基)-3-吡啶基]苯酚,19.9,,,,,
35,CCc1c(-c2ccc(C)nc2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(6-甲基-3-吡啶基)-3-吡啶基]苯酚,31.2,,,,,
36,CCc1c(-c2ccc(C)cc2)cnc(N)c1-c1ccc(O)cc1,4-[2-氨基-4-乙基-5-(对甲苯基)-3-吡啶基]苯酚,18.1,,,,,
37,CCc1c(-c2ccccc2)cnc(N)c1-c1ccc(O)cc1,4-(2-氨基-4-乙基-5-苯基-3-吡啶基)苯酚,17.8,,,,,
