实施例编号,SMILES,结合IC50DDR1[nM]
61,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NC1COC1,662.7
62,CN1CCCC(N2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1=O,2986.6
63,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1C[C@@H]2CN(Cc3ccccc3)C[C@@H]2C1,2298.8
64,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CC[C@H](F)C1)CN2c1ccccc1,394.4
65,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CC[C@@H](F)C1)CN2c1ccccc1,65.8
66,COC1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,225.2
67,CC1(F)CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,27.3
68,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCC(F)(F)C1,19.1
69,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CCC3(C1)CC3(F)F)CN2c1ccccc1,19.3
70,CC1(O)CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,359.2
71,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CCCC13COC3)CN2c1ccccc1,1834.5
72,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CC[C@@H](O)C1,1376.7
73,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CC[C@H](O)C1,1522.5
74,CN(C)[C@H]1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,694.2
75,CC(C)N(CC(F)(F)F)C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O,17.2
76,CN(C)C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O,2279.3
77,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(C1CCN(CC(F)(F)F)C1=O)CN2c1ccccc1,87.7
78,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(C1CCN(C3CC3)C1=O)CN2c1ccccc1,565.1
