实施例编号 实施例编号,SMILES,结合IC50 DDR1 [nM] 结合IC50 DDR1 [nM]
121,Cn1nc(C(F)(F)F)cc1NC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O,103.1
122,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N[C@H]1C[C@@H]1c1cccc(CN2CCOCC2)c1,426.3
123,CN1CCN(Cc2ccccc2C2CC2NC(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)CC1,45.6
124,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCOC(C(F)(F)F)C1,34.3
125,O=C(CN1CN(c2cccc(Cl)c2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,12.9
126,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCN(C2CC2)CC1,404
127,CN1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)CC1(C)C,564.5
128,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCC(N2CCCC2)C1,1648.2
129,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCN(C2CC2)C(=O)C1,1027.5
130,C[C@H]1CN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C[C@H]1O,455.8
131,C[C@H]1CN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C[C@@H]1O,272.3
132,CN1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)CC1C(F)(F)F,69.5
133,CN1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)CC1C(F)(F)F,19.3
134,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)Nc1cccc(C(F)(F)F)n1,63.1
135,NCC1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,4846.9
136,CN(C)CCC1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)C1,1473.2
137,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)Nc1ccccc1CN1CCOCC1,23.1
138,CN(C)CCNC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O,5590.1
139,CN(C)CCN(CC(F)(F)F)C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O,155.2
140,CC1(C(=O)N(CC(=O)N2CCO[C@@H](C(F)(F)F)C2)CN(c2ccccc2)c2ccccc2)CCN(C(=O)c2ccc3[nH]ncc3n2)CC1,17.7
141,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)Nc1ccn(CC(F)(F)F)n1,208.1
142,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCO[C@@H](C(F)(F)F)C1,33.7
143,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N1CCO[C@@H](C(F)(F)F)C1,23.3
144,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCO[C@@H](C(F)(F)F)C1,110.5
145,O=C(CN1CCO[C@H](C(F)(F)F)C1)N1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4n3)CC2)C1=O,27.9
146,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cc4cn[nH]c4cn3)CC2)C1=O)N1CCO[C@H](C(F)(F)F)C1,117
147,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cc4cn[nH]c4cn3)CC2)C1=O)N1CCO[C@@H](C(F)(F)F)C1,96
