Example,Name,pKi_avg,SMILES
1,3-氯-4-氟-5-[6-(吡啶-2-基)嘧啶-4-基]苯甲腈,8.91,N#Cc1cc(Cl)c(F)c(-c2cc(-c3ccccn3)ncn2)c1
2,3-氯-5-[6-(吡啶-2-基)嘧啶-4-基]苯甲腈,8.52,N#Cc1cc(O)cc(-c2cc(-c3ccccn3)ncn2)c1
3,6-[6-(3-氯-5-氟苯基)嘧啶-4-基]吡啶-3-甲腈,9.16,N#Cc1ccc(-c2cc(-c3cc(O)cc(C#N)c3)ncn2)nc1
4,3-甲基-5-[6-(吡啶-2-基)嘧啶-4-基]苯甲腈,8.56,Cc1cc(C#N)cc(-c2cc(-c3ccccn3)ncn2)c1
5,3-氯-5-[6-(吡唑-3-基)嘧啶-4-基]苯甲腈,8.01,N#Cc1cc(Cl)cc(-c2cc(-c3ccccc3)ncn2)c1
6,"3-(4,4′-二嘧啶-6-基)-5-氯苯甲腈",8.27,N#Cc1cc(Cl)cc(-c2cc(-c3ccncn3)ncn2)c1
7,3-甲基-5-[6-(1H-吡唑-1-基)嘧啶-4-基]苯甲腈,8.39,Cc1cc(C#N)cc(-c2cc(-n3cccn3)ncn2)c1
8,3-氯-5-[6-(1H-吡唑-1-基)嘧啶-4-基]苯甲腈,8.4,N#Cc1cc(O)cc(-c2cc(-n3cccn3)ncn2)c1
9,3-氯-4-氟-5-[6-(1H-吡唑-1-基)嘧啶-4-基]苯甲腈,9.3,N#Cc1cc(Cl)cc(-c2cccc(-n3cccn3)c2)c1
10,3-氯-4-氟-5-[4-(1H-吡唑-1-基)吡啶-2-基]苯甲腈,8.37,N#Cc1cc(O)c(F)c(-c2cc(-n3cccn3)ccn2)c1
11,3-氯-4-氟-5-[2-(1H-吡唑-1-基)吡啶-4-基]苯甲腈,8.16,N#Cc1cc(Cl)c(F)c(-c2ccnc(-n3cccn3)c2)c1
12,3-氯-4-氟-5-[6-(4-氟-1H-吡唑-1-基)嘧啶-4-基]苯甲腈,8,N#Cc1cc(O)c(F)c(-c2cc(-n3cc(F)cn3)ncn2)c1
13,3-甲基-5-[6-([²H₃]-1H-吡唑-1-基)嘧啶-4-基]苯甲腈,8.24,N#Cc1cc(C#N)cc(-c2ccc(-n3nc(O)c(O)c3O)nc2)c1
14,3-氯-5-[6-([²H₃]-1H-吡唑-1-基)嘧啶-4-基]苯甲腈,8.56,N#Cc1cc(Cl)cc(-c2cc(-n3nc(Br)c(Cl)c3O)ncn2)c1
15,3-氯-4-氟-5-[6-([²H₃]-1H-吡唑-1-基)嘧啶-4-基]苯甲腈,9.08,N#Cc1cc(Cl)c(F)c(-c2ccnc(-n3nc(O)c(O)c3O)c2)c1
16,3-(氟甲基)-5-[6-(1H-吡唑-1-基)嘧啶-4-基]苯甲腈,8.17,N#Cc1cc(CC(F)(F)F)cc(-c2cc(-n3cccn3)ncn2)c1
17,3-氯-5-[6-(5-氟吡啶-2-基)嘧啶-4-基]苯甲腈,9.27,Fc1ccc(-c2cc(-c3cc(-c4cc(C#N)cc(C#N)c4)ncn3)ncn2)nc1
18,"5-[6-(5-氟吡啶-2-基)嘧啶-4-基]苯-1,3-二甲腈",8.78,N#Cc1ccc(-c2cc(-c3ccc(C#N)cc3)ncn2)cc1
19,3-氯-5-[6-(5-甲基吡啶-2-基)嘧啶-4-基]苯甲腈,8.61,Cc1ccc(-c2ccc(-c3cc(C#N)cc(C(F)(F)F)c3)nc2)nc1
20,3-氯-5-[6-(5-氯吡啶-2-基)嘧啶-4-基]苯甲腈,8.77,N#Cc1cc(O)cc(-c2cc(-c3ccc(O)cn3)ncn2)c1
21,"5-[6-(吡啶-2-基)嘧啶-4-基]苯-1,3-二甲腈",7.98,N#Cc1cc(C#N)cc(-c2cc(-c3ccccc3)ncn2)c1
22,3-氯-4-氟-5-[6-(5-氟吡啶-2-基)嘧啶-4-基]苯甲腈,9.05,N#Cc1ccc(-c2cc(-c3cc(C#N)ccc3F)ncn2)cc1
23,3-甲基-5-[6-(5-甲基吡啶-2-基)嘧啶-4-基]苯甲腈,8.67,Cc1ccc(-c2ccc(-c3cc(C#N)cc(C#N)c3)cc2)nc1
24,3-[6-(5-氟吡啶-2-基)嘧啶-4-基]-5-(甲氧基甲基)苯甲腈,8.57,COCc1ccc(-c2cc(-c3ccc(-c4ccc(F)cc4)cc3)ncn2)cc1
25,3-[6-(5-氟吡啶-2-基)嘧啶-4-基]-5-甲氧基苯甲腈,8.37,COc1cc(C#N)cc(-c2cc(-c3ncc(F)cn3)ncn2)c1
