化合物,SMILES,IC50(HuAChE) nM*,IC50(BuChE) nM*
XLV,CCN(CCNC1=CC(=O)C(NCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC,61.5±1.3,16800±1100
XII,COc1ccccc1CN(CC)CCCNC1=CC(=O)C(NCCCN(CC)Cc2ccccc2OC)=CC1=O,2.25±0.21,4490±340
XVI,c1(OC)ccccc1CN(CC)CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O,1.55±0.11,1440±100
IL,CCN(CCCCCCCNC1=CC(=O)C(NCCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC,7.79±0.37,1250±250
LIV,O(C)c1ccccc1CN(C)CCCCCCNC1=CC(=O)C(NCCCCCCN(C)Cc2ccccc2OC)=CC1=O,77.8±4.3,5110±410
LI,COc1ccccc1CNCCCCCCNC1=CC(=O)C(NCCCCCCNCc2ccccc2OC)=CC1=O,123±20,3230±150
LV,CCN(CCCCCCNC1=C(C)C(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=C(C)C1=O)Cc1ccccc1OC,9.50±0.23,462±2
XVII,N(CC)(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1,73.3±3.2,645±33
XXXVII,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccc(OC)cc2)=CC1=O)Cc1ccc(OC)cc1,51.1±1.0,2420±940
XXXIII,O(C)c1cccc(CN(CC)CCCCCCNC2=CC(=O)C(NCCCCCCN(CC)Cc3cccc(OC)c3)=CC2=O)c1,13.8±1.7,2170±70
XXIX,[N+](=O)([O-])c1ccccc1CN(CC)CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2[N+](=O)[O-])=CC1=O,2310±130,36500±8800
XVIII,N(CC)(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2Cl)=CC1=O)Cc1ccccc1Cl,593±51,45100±1000
XLI,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccco2)=CC1=O)Cc1ccco1,144±3,3510±180
