Ba/3 Ros1 G2032R (-IL-3) pIC50,Ba/F3 Ros1 L2026M (-IL-3) pIC50,BaF3-ROS1+IL3 pIC50,BaF3-ROS1-IL3 pIC50,HCC-78 PROL pEC50,HCC78 pRos pIC50,ROS1 pIC50,SMILES,Соед.
,73,<5,70,70,-54,69,CC(C)c1ccc(COc2ccc(B3OC(C)(C)C(C)(C)O3)cn2)cc1,Соед. 16
,67,<5,68,63,68,68,CC(C)c1ccc(COc2ccc(Br)c(C#N)c2)cc1,Соед. 13
,69,<5,71,70,76,74,CC(C)c1ccc(COc2ccc(Br)c(F)c2)cc1,Соед. 17
,,<5,64,,,63,CC1(C)OB(c2ccc(OCc3ccc(C4CC4)cc3)cc2)OC1(C)C,Соед. 22
,,<5,72,,,76,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4cccnc34)c(F)c2)cc1,Соед. В
,,<5,68,,,71,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4cccnc34)cc2)cc1,Соед. А
,78,<5,76,64,,77,CC(C)c1ccc(COc2ccc(B3OC(C)(C)C(C)(C)O3)c(F)c2)cc1,Соед. 18
,,<5,58,,,63,c1(C(=O)OCC)ccnc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn12,Соед. Н
,68,<5,70,61,,69,C=C(C)c1ccc(CO)c(F)c1F,Соед. 25
64,"~6,7",53,70,61,,69,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCC4)cc2)cc1,Соед. 1
,69,<5,71,63,,72,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4ccc(=O)[nH]c34)cc2)cc1,Соед. Е
,,<5,<5,,,60,c1(C(=O)OC)ccn2nc(-c3ccncc3)c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c2n1,Соед. G
,64,<5,67,61,,70,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3N(C)CCC4)cc2)cc1,Соед. 19
,76,51,75,71,,72,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NC(CO)CC4)cc2)cc1,Соед. 24
,67,<5,71,68,,75,CNC(=O)C1CCNc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn21,Соед. 26
,68,<5,68,57,,63,CNC(=O)c1ccnc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn12,Соед. J
,,<5,68,,,65,CC(C)c1ccc(CO)cc1C#N,Соед. 20
64,68,<5,71,56,,69,Brc1c(-c2ccncc2)nn2c1NCC2,Соед. 10
,69,<5,74,,,72,CC(C)c1ccc(COc2ccc(B3OC(C)(C)C(C)(C)O3)cc2)cc1C#N,Соед. 21
,66,<5,72,,,72,c1(C#N)cc(OCc2ccc(C(C)C)cc2)ccc1-c1c(-c2ccncc2)nn2c1NCC2,Соед. 3
,64,<5,67,,,67,C(#N)/C=C(\[O-])c1ccncc1,Соед. 6
,71,59,71,62,,70,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)n[nH]c3N)cc2)cc1,Соед. 4
67,<5,<5,71,61,,"~6,9",CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NCC4)c(F)c2)cc1,Соед. 5
62,75,<5,68,62,,66,CC(C)c1ccc(COc2ccc(Br)c(F)c2)cc1,Соед. 7
,75,54,63,57,,58,C(=O)(OCC)n1nc(-c2ccncc2)c(Br)c1N,Соед. 8
,66,"~5,13",65,60,,64,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncn4)nn4c3NCC4)cc2)cc1,Соед. 14
,<5,<5,68,62,,66,CC(C)c1ccc(COc2ccc(Br)cn2)cc1,Соед. 15
,77,<5,"~8,03",79,,76,CC(C)c1ccc(COc2cc(F)c(-c3c(-c4ccncc4)nn4c3NCC4)cc2F)cc1,Соед. 2
,55,<5,73,63,,72,Nc1[nH]nc(-c2ccncc2)c1Br,Соед. 9
,55,"~5,2",63,,,63,CNCC1CCNc2c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3)c(-c3ccncc3)nn21,Соед. 27
,6,"~5,35",63,58,,63,CC(C)c1ccc(COc2cc(F)c(B3OC(C)(C)C(C)(C)O3)cc2F)cc1,Соед. 12
,75,<5,75,67,,75,Cc1ccn2nc(-c3ccncc3)c(-c3ccc(OCc4ccc(C(C)C)cc4)cc3F)c2n1,Соед. С
,78,<5,79,70,,75,CC(C)c1ccc(COc2ccc(-c3c(-c4ccncc4)nn4c3NC(CO)CC4)c(F)c2)cc1,Соед. 23
,68,56,70,61,,66,CC(C)c1ccc(COc2cc(F)c(Br)cc2F)cc1,Соед. 11
