Пример,SMILES,pEC50,pKd
121.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,6366.0,—
122.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,7518.0,—
123.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,7216.0,—
124.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,7191.0,—
125.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,7107.0,6545
126.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,7155.0,—
127.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,7060.0,—
128.0,COc1cccc(CNC2=NS(=O)(=O)c3cccc(I)c3N2)n1,7604.0,—
129.0,O=S1(=O)N=C(NCc2ncccc2F)Nc2c(I)cccc21,557.0,—
130.0,O=S(=O)(Cl)N=C=O,7056.0,—
131.0,O=S(=O)(Cl)N=C=O,7053.0,—
132.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,6551.0,—
133.0,O=S(=O)(Cl)N=C=O,6529.0,—
134.0,O=S(=O)(Cl)N=C=O,6141.0,—
135.0,O=S(=O)(Cl)N=C=O,6075.0,—
136.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6924.0,6535
137.0,O=S(=O)(Cl)N=C=O,7102.0,654
138.0,COc1cccc(CNC2=NS(=O)(=O)c3cccc(I)c3N2)n1,6721.0,—
139.0,O=S1(=O)N=C(NCc2ncccc2F)Nc2c(I)cccc21,6609.0,—
140.0,O=S(=O)(Cl)N=C=O,6160.0,—
141.0,O=S(=O)(Cl)N=C=O,6436.0,—
142.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,6612.0,—
143.0,O=S(=O)(Cl)N=C=O,6354.0,—
144.0,O=S(=O)(Cl)N=C=O,6665.0,—
145.0,O=S(=O)(Cl)N=C=O,6850.0,—
146.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6790.0,—
147.0,O=S(=O)(Cl)N=C=O,7292.0,667
148.0,COc1cccc(CNC2=NS(=O)(=O)c3cccc(I)c3N2)n1,7770.0,—
149.0,O=S1(=O)N=C(NCc2ncccc2F)Nc2c(I)cccc21,6495.0,—
150.0,O=S(=O)(Cl)N=C=O,6381.0,—
151.0,O=S(=O)(Cl)N=C=O,6250.0,—
152.0,O=S1(=O)N=C(Nc2ccccc2)Nc2c(I)cccc21,6651.0,—
153.0,O=S(=O)(Cl)N=C=O,7564.0,—
154.0,O=S(=O)(Cl)N=C=O,7492.0,—
155.0,O=S(=O)(Cl)N=C=O,7454.0,—
156.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,7323.0,—
157.0,O=S(=O)(Cl)N=C=O,7250.0,—
158.0,COc1cccc(CNC2=NS(=O)(=O)c3cccc(I)c3N2)n1,6640.0,—
159.0,O=S1(=O)N=C(NCc2ncccc2F)Nc2c(I)cccc21,7271.0,—
160.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,7030.0,—
161.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,7211.0,—
162.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6998.0,651
163.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6745.0,—
164.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6648.0,—
165.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6540.0,—
166.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6468.0,—
167.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6404.0,—
168.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6328.0,—
169.0,CC(C)c1cccc(NC2=NS(=O)(=O)c3cccc(I)c3N2)c1,6324.0,595
170.0,O=S(=O)(Cl)N=C=O,6195.0,—
