Ex,SMILES,Structure,Name,IC50XIAP BIR2,IC50XIAP BIR3,IC50cIAP BIR2,IC50cIAP BIR3
1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)C3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@@H]1C(=O)Nc1c(C)cccc1F)C1CCOCC1,[mol],"N-((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindolin-5-yl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.007,0.011,0.178,0.006
2,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CNC(=O)C3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@H]1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"N-(2-((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindolin-5-yl)amino)-2-oxoethyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.006,0.013,0.0721,0.006
3,C[C@H]1CN(CC(=O)N2CC(C)(C(=O)NCCNC(=O)C3(C)CN(C(=O)CN4C[C@@H](C)NC[C@@H]4CN4CCOC[C@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)c3ccc(Cc4ccc(F)cc4)cc32)[C@H](CN2CCOC[C@H]2C)CN1,[mol],"(R,R,R)-N,N'-(ethane-1,2-diyl)bis(6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide) trihydrochloride",>54.2,0.003,22.7,0.01
4,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)c3ccc(NC(=O)C4(C)CN(C(=O)CN5C[C@H](C)NC[C@H]5CN5CCOC[C@H]5C)c5cc(Cc6ccc(F)cc6)ccc54)cc3)cc2[C@@H]1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"N-(4-(((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindolin-5-yl)carbamoyl)phenyl)-6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamide trihydrochloride",0.005,0.013,0.0347,0.004
5,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2cc(NC(=O)C3(C)CN(C(=O)CN4C[C@@H](C)NC[C@@H]4CN4CCOC[C@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)ccc2C[C@H]1C(=O)N[C@H]1CCCc2ccccc21)C(C)(C)C,[mol],"(3S)-2-((S)-3,3-dimethyl-2-((S)-2-(methylamino)propanamido)butanoyl)-7-(6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamido)-N-((R)-1,2,3,4-tetrahydronaphthalen-1-yl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide trihydrochloride",1.51,0.003,2.28,0.004
6,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2cc(NC(=O)CNC(=O)C3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)ccc2C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C,[mol],"(3S)-2-((S)-3,3-dimethyl-2-((S)-2-(methylamino)propanamido)butanoyl)-7-(2-(6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-(((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indoline-3-carboxamido)acetamido)-N-((R)-1,2,3,4-tetrahydronaphthalen-1-yl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide trihydrochloride",1.64,0.008,2.33,0.004
7,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CC(=O)NCCCC3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2C1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"N1-((S)-3-((2,6-difluorophenyl)carbamoyl)-2-((S)-2-((S)-2-(methylamino)propanamido)-2-(tetrahydro-2H-pyran-4-yl)acetyl)isoindolin-5-yl)-N3-(3-(6-(4-fluorobenzyl)-3-methyl-1-(2-((2R,5R)-5-methyl-2-((R)-3-methylmorpholino)methyl)piperazin-1-yl)acetyl)indolin-3-yl)propyl)malonamide trihydrochloride",0.008,0.026,0.107,0.01
8,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CNC(=O)[C@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@H]1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"(3S)-N-[2-[[[(3S)-3-((2,6-difluorophenyl)carbamoyl)-2-[(2S)-2-[[[(2S)-2-(methylamino)propanoyl]amino]-2-(oxan-4-yl)acetyl]-1,3-dihydroisoindol-5-yl]amino]-2-oxoethyl]-6-[(4-fluorophenyl)methyl]-3-methyl-1-[2-[(2R,5R)-5-methyl-2-[[[(3R)-3-methylmorpholin-4-yl)methyl]piperazin-1-yl]acetyl]-2H-indole-3-carboxamide; trihydrochloride",0.002,0.004,0.034 8,0.002
9,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CNC(=O)[C@]3(C)CN(CC(=O)N4C[C@@H](C)NC[C@@H]4CN4CCOC[C@H]4C)c4cc(Cc5ccc(F)cc5)ccc43)cc2[C@H]1C(=O)Nc1c(F)cccc1F)C1CCOCC1,[mol],"(3R)-N-[2-[(3S)-3-[(2,6-difluorophenyl)carbamoyl]-2-[(2S)-2-[(2S)-2-(methylamino)propanoyl]amino]-2-(oxan-4-yl)acetyl]-1,3-dihydroisoindol-5-yl]amino]-2-oxoethyl]-6-[(4-fluorophenyl)methyl]-3-methyl-1-2-[(2R,5R)-5-methyl-2-[(3R)-3-methylmorpholin-4-yl]methyl]piperazin-1-yl]acetyl]-2H-indole-3-carboxamide; trihydrochloride",0.003,0.108,0.182,0.081
10,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccc(NC(=O)CNC(=O)[C@]3(C)CN(C(=O)CN4C[C@H](C)NC[C@H]4CN4CCOC[C@@H]4C)c4cc(Cc5ccc(I)cc5)ccc43)cc2C[C@H]1C(=O)N[C@H]1CCCc2ccccc21)C(C)(C)C,[mol],"(3S)-2-[(2S)-3,3-dimethyl-2-[(2S)-2-(methylamino)propanoyl]amino]butanoyl]-7-[[2-[(3S)-6-[(4-fluorophenyl)methyl]-3-methyl-1-2-[(2R,5R)-5-methyl-2-[(3R)-3-methylmorpholin-4-yl]methyl]piperazin-1-yl]acetyl]-2H-indole-3-carbonyl]amino]acetyl]amino]-N-[(1R)-1,2,3,4-tetrahydronaphthalen-1-yl]-3,4-dihydro-1H-isoquinoline-3-carboxamide; trihydrochloride",1.26,0.002,1.62,0.002
