Cmpd #,SMILES,Prompt Rat NHE3 pIC50,Prompt Human NHE3 pIC50,Dose mg/kg,"Urine, Na% of control",Urine P% of control,Fecal Form Score average,No. of trials averaged
1,CN1Cc2c(Cl)cc(Cl)cc2C(c2cccc(S(N)(=O)=O)c2)C1,6.6,,10,87%,52%,1,
2,COCCNS(=O)(=O)c1cccc(C2CN(C)Cc3c(Cl)cc(Cl)cc32)c1,6.7,6.5,10,115%,80%,1,
3,CN1Cc2c(Cl)cc(Cl)cc2[C@@H](c2cccc(NC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)c2)C1,7.4,7.6,1,41%,57%,1,
4,NCCOCCOCCOCCNS(=O)(=O)c1ccc(Oc2c(F)cc(C=C(C)C(=O)N=C(N)N)cc2F)cc1,6.9,6.8,10,84%,106%,1,
5,O=C(NCCOCCOCCOCCS(=O)(=O)c1ccc(NC2C(=O)C=C(CC3C=C(C(F)(F)F)C(C(F)(F)F)=CC3=O)C=C2C(F)(F)F)cc1)[C@@H](C)NC(=O)CCCCOCCOCCCCCCNS(=O)(=O)c1ccc(Oc2c(F)cc(C=C(C(N)=O)C(N)=O)cc2F)cc1,6.9,7.85,10,51%,65%,1,
5,O=C(NCCOCCOCCOCCS(=O)(=O)c1ccc(NC2C(=O)C=C(CC3C=C(C(F)(F)F)C(C(F)(F)F)=CC3=O)C=C2C(F)(F)F)cc1)[C@@H](C)NC(=O)CCCCOCCOCCCCCCNS(=O)(=O)c1ccc(Oc2c(F)cc(C=C(C(N)=O)C(N)=O)cc2F)cc2,6.9,7.85,30,23%,105%,2,
6,O=C(NCCOCCOCCOCCNS(=O)(=O)c1cccc([C@@H]2CN(C)Cc3cc(Cl)ccc32)c1)[C@@H](*)[C@@H](Cc1ccccc1)C(=O)NCCOCCOCCOCCNS(=O)(=O)c1cccc([C@@H]2CN(C)Cc3cc(Cl)ccc32)c1,8.35,8.3,1,21%,46%,2,
7,N=C(N)Nc1nc(-c2cccc(S(=O)(=O)NCCOCCOCCN)c2)c2cc(Cl)ccc2n1,6.3,7.2,10,76%,90%,1,
8,NCCOCCOCCNS(=O)(=O)c1ccc(-c2nc(NC(=N)N)nc3ccc(Cl)cc23)cc1,6.9,6.4,10,73%,101%,1,
8,NCCOCCOCCNS(=O)(=O)c1ccc(-c2nc(NC(=N)N)nc3ccc(Cl)cc23)cc2,,,30,31%,114%,2,
9,,6.5,7.1,10,56%,77%,1,
10,NCCOCCOCCOc1cccc(-c2nc(N=C(N)N)nc3ccc(Cl)cc23)c1,6.65,7.5,10,76%,80%,1,
11,NCCOCCOCCOc1ccc(-c2nc(N=C(N)N)nc3ccc(Cl)cc23)cc1,6.95,6.8,10,60%,64%,1,
11,,,,30,29%,96%,2,
12,NCCOCCOCCOCCNS(=O)(=O)c1cccc(-c2nc(NC(=N)N)nc3ccc(Cl)cc23)c1,6.1,7,10,82%,94%,1,
13,,6.7,7.4,10,74%,56%,1,
14,O=C(NCCOCCOCCNC(=O)CCOCCOCCOCCOCCOCCOCCOc1ccc(/C=C/c2cc(F)c(F)[nH]c2=O)cc1F)NCCOCCOCCOCCS(=O)(=O)c1ccc2nc3ccc(C(=O)NC(=O)SC(F)=C(F)F)cc3cc2c1,7,7.6,10,51%,59%,1,
15,O=C1OC(=O)C(Cc2cc(C)c(Oc3ccc(S(=O)(=O)NCCOCCOCCOCCNC(=O)COCC(=O)NCCOCCOCCOCCNS(=O)(=O)c4ccc(Sc5c(F)cc(C=C6C(=O)NC(=O)NC6=O)cc5F)cc4)cc3)c(F)c2)O1,7.3,7.9,10,77%,65%,1,
16,NCCOCCOCCN1CCN(c2cccc(-c3nc(N=C(N)N)nc4ccc(Cl)cc34)c2)CC1,6.7,7.8,30,87%,123%,1,
17,c1cc(-c2ccc(N3CCN(CCOCCOCCNC(=O)C(*)NC(=O)C(=S)NCCOCCOCCOCCN4CCN(c5ccc(-c6cc(C(N)=O)nc7ccc(Cl)cc67)cc5)CC4)CC3)cc2)ccc1Cl,7.1,6.6,30,86%,120%,1,
18,NCCOCCOCCOCCN1CCN(c2ccc(-c3nc(N=C(N)N)nc4ccc(Cl)cc34)cc2)CC1,7.25,7.35,10,74%,142%,1,
18,NCCOCCOCCOCCN1CCN(c2ccc(-c3nc(N=C(N)N)nc4ccc(Cl)cc34)cc2)CC2,6.9,6.9,30,41%,109%,1,
19,NCCOCCOCCN1CCN(c2ccc(-c3nc(N=C(N)N)nc4ccc(Cl)cc34)cc2)CC1,7,7.4,10,72%,119%,1,
