compound_id,SMILES,pIC50
1,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1F,
2,CNc1nc(Nc2ccc(C(=O)N3CCC(O)CC3)cc2OC)ncc1F,
3,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Cl,
4,CNc1nc(Nc2ccc(C(=O)N(C)C)cc2OC)ncc1Cl,
5,CNc1nc(Nc2ccc(C(=O)NC3CC3)cc2OC)ncc1Cl,
6,CNc1nc(Nc2ccc(C(=O)N3CCC(O)CC3)cc2OC)ncc1Cl,
7,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(F)F)ncc1Cl,
8,CNc1nc(Nc2ccc(C(=O)N3CCN4CCCCC4C3)cc2OC)ncc1Cl,
9,CNc1nc(Nc2ccc(C(=O)N3CCCCC3O)cc2OC)ncc1Cl,
10,CNc1nc(Nc2ccc(C(=O)N3CCC(C)(C)CC3)cc2OC)ncc1Cl,
11,CNc1nc(Nc2ccc(C(=O)N3CC(C)CC(C)C3)cc2OC)ncc1Cl,
12,CNc1nc(Nc2ccc(C(=O)N3CCC(C(C)(C)O)CC3)cc2OC)ncc1Cl,
13,CNc1nc(Nc2ccc(C(=O)N3CCC(O)C3)cc2OC)ncc1Cl,
14,CNc1nc(Nc2ccc(C(=O)N3CCC(C)CC3)cc2OC)ncc1Cl,
15,CNc1nc(Nc2ccc(C(=O)N3CCCCC3)cc2OC)ncc1Cl,
16,CNc1nc(Nc2ccc(C(=O)N3CCC3)cc2OC)ncc1Cl,
17,CNc1nc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)ncc1Cl,
18,CNc1nc(Nc2ccc(C(=O)N3CCCC(C)C3)cc2OC)ncc1Cl,
19,CNc1nc(Nc2ccc(C(=O)N3CCC(OC)CC3)cc2OC)ncc1Cl,
20,CNc1nc(Nc2ccc(C(=O)N3CCCC(F)(F)C3)cc2OC)ncc1Cl,
21,CNc1nc(Nc2ccc(C(=O)N3CCC(C#N)CC3)cc2OC)ncc1Cl,
22,CNc1nc(Nc2ccc(C(=O)N3CCC(F)CC3)cc2OC)ncc1Cl,
23,CNc1nc(Nc2ccc(C(=O)N3CCCC(OC)C3)cc2OC)ncc1Cl,
24,CCN1CCN(C(=O)c2ccc(Nc3ncc(Cl)c(NC)n3)c(OC)c2)CC1,
25,CNc1nc(Nc2ccc(C(=O)N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl,
26,CNc1nc(Nc2ccc(C(=O)N3CCCC(C(F)(F)F)C3)cc2OC)ncc1Cl,
27,CNc1nc(Nc2ccc(C(=O)N3CCC(C(C)(C)C)CC3)cc2OC)ncc1Cl,
28,CNc1nc(Nc2ccc(C(=O)N3CCN(CCO)CC3)cc2OC)ncc1Cl,
29,CNc1nc(Nc2ccc(C(=O)N3CCCC3C)cc2OC)ncc1Cl,
30,CNc1nc(Nc2ccc(C(=O)N3CCC(CO)CC3)cc2OC)ncc1Cl,
31,CNc1nc(Nc2ccc(C(=O)N3CCCCC3C)cc2OC)ncc1Cl,
32,CNc1nc(Nc2ccc(C(=O)N3CCCC3)cc2OC)ncc1Cl,
33,CNc1nc(Nc2ccc(C(=O)N3CCN(S(C)(=O)=O)CC3)cc2OC)ncc1Cl,
34,CNc1nc(Nc2ccc(C(=O)N3CCC(C(F)(F)F)C3)cc2OC)ncc1Cl,
35,CNc1nc(Nc2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)cc2OC)ncc1Cl,
36,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Br,
37,CNc1nc(Nc2ccc(C(=O)N3CCOC(C)C3)cc2OC)ncc1Cl,
38,CNc1nc(Nc2ccc(C(=O)N3CC(C)OC(C)C3)cc2OC)ncc1Cl,
