Ej.,SMILES,TSER pIC50,TNE pIC50
10-60,,≥8.0*,≥8.0*
10-61,,≥8.0,≥8.0
10-62,,≥8.0,≥8.0
10-63,,≥8.0*,≥8.0*
10-64,,≥8.0,≥8.0
10-65,,≥8.0*,≥8.0*
10-66,,≥8.0,≥8.0
10-67,,≥8.0*,≥8.0*
10-68,,≥8.0,≥8.0
10-69,,≥8.0,≥8.0
10-70,,≥8.0,≥8.0
10-71,,≥8.0*,≥8.0*
10-72,,≥8.0*,≥8.0*
10-73,,≥8.0,≥8.0
10-74,,≥8.0*,≥8.0*
10-75,,≥8.0*,≥8.0*
10-76,,≥8.0*,≥7.0*
10-77,,≥8.0,≥8.0
10-78,,≥8.0,≥8.0
10-79,,≥8.0,≥8.0
10-80,,≥8.0*,≥8.0*
10-81,,≥8.0,≥8.0
10-82,,≥8.0,≥8.0
10-83,,≥7.0*,≥8.0*
10-84,,≥8.0,≥8.0
10-85,,≥8.0*,≥8.0*
10-86,,≥8.0,≥8.0
11,CCC(CC)[C@H](Oc1cccc(Cl)c1Cl)[C@H]1CCNC1,≥8.0*,≥8.0*
12月1日,*c1c(*)c(*)c(OC(*)C2CCN(*)C2)c(*)c1*,≥8.0*,≥8.0*
15,Cc1c(Cl)cccc1O[C@@H](C1CC1)[C@H]1CCNC1,>8.0,>8.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,≥8.0
,,,≥8.0
,,,n.d.
,,,n.d.
,,,n.d.
,,,≥8.0
,,,n.d.
,,,≥8.0*
,,,≥8.0*
,,,≥8.0*
,,,≥8.0*
,,,≥8.0
,,,≥8.0*
,,,≥8.0*
,,,≥8.0*
,,,≥8.0*
,,,≥8.0*
,,,≥7.0*
,,,≥8.0
,,,≥8.0*
,,,≥8.0*
,,,≥8.0*
,,,≥8.0
,,,≥8.0
,,,n.d.
,,,≥8.0
,,,≥8.0
,,,n.d.
,,,n.d.
,,,≥7.0*
,,,≥8.0*
,,,≥8.0
,,,n.d.
,,,n.d.
,,,n.d.
,,,n.d.
,,,n.d.
,,,n.d.
,,,n.d.
,,,≥7.0*
,,,≥8.0*
,,,≥8.0
,,,n.d.
,,,n.d.
,,,≥8.0*
,,,≥8.0*
,,,≥8.0*
,,,≥7.0*
,,,≥8.0
,,,≥7.0*
,,,≥7.0*
,,,≥8.0
,,,≥8.0
,,,≥8.0
,,,≥8.0
,,,≥8.0
,,,≥8.0
,,,≥7.0*
,,,≥8.0
,,,≥8.0
,,,≥7.0
,,,≥7.0*
,,,≥8.0
,,,n.d.
,,,≥7.0*
,,,≥8.0
,,,≥7.0*
,,,≥7.0*
,,,n.d.
,,,≥8.0*
,,,n.d.
,,,≥8.0
,,,≥7.0*
,,,≥6.5*
,,,≥8.0*
,,,≥8.0
,,,≥8.0
,,,≥8.0
,,,≥8.0*
,,,≥8.0
,,,≥8.0
,,,≥8.0
,,,≥7.0*
,,,≥7.0*
,,,≥8.0
,,,n.d.
,,,≥8.0
,,,≥7.0*
,,,≥8.0
,,,≥7.0*
,,,≥8.0*
,,,≥8.0
,,,≥8.0*
,,,n.d.
,,,n.d.
,,,n.d.
,,,n.d.
,,,≥8.0
,,,≥7.0*
,,,≥7.0*
,,,≥8.0*
,,,≥8.0*
,,,≥7.0*
,,,≥8.0
,,,≥7.0*
,,,≥7.0*
,,,≥7.0*
,,,≥7.0
,,,n.d.
,,,≥8.0
,,,≥7.0*
,,,≥8.0
,,,≥7.0*
,,,n.d.
,,,n.d.
,,,≥8.0
,,,≥7.0
,,,n.d.
,,,n.d.
,,,≥8.0
,,,≥8.0
,,,≥7.0
,,,≥7.0
,,,≥8.0
,,,n.d.
,,,n.d.
,,,n.d.
,,,n.d.
,,,n.d.
,,,n.d.
