Compound ID,SMILES,Ki
265,CNc1nc(Nc2cc(Cl)c(C(=O)NC3(C#N)CC3)cc2OC)ncc1C(F)(F)F,
266,CNC(=O)c1cc(Cl)c(Nc2ncc(C(F)(F)F)c(NC)n2)cc1OC,
267,CNc1nc(Nc2cc(Cl)c(C(=O)N3CC(C)OC(C)C3)cc2OC)ncc1C(F)(F)F,
268,O=C(c1ccc(Nc2ncc(C(F)(F)F)c(N3CCCC3)n2)c(Br)c1)N1CCOCC1,
269,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CCC2)ncc1C(F)(F)F,
270,CNc1nc(Nc2ccc(C(=O)N3CC(F)(F)C3)cc2OC)ncc1C(F)(F)F,
271,CNc1nc(Nc2ccc(C(=O)NC3COC3)cc2OC)ncc1C(F)(F)F,
272,CNc1nc(Nc2ccc(C(=O)N3CC4CCC(C3)O4)cc2OC)ncc1C(F)(F)F,
273,CNc1nc(Nc2ccc(C(=O)N3CC4CC(C3)O4)cc2OC)ncc1C(F)(F)F,
274,CNc1nc(Nc2ccc(C(=O)N3CCCC3)cc2OC)ncc1C(F)(F)F,
275,CCN(CC)C(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NC)n2)c(OC)c1,
276,CNc1nc(Nc2ccc(C(=O)N3CCC(N(C)C)CC3)cc2OC)ncc1C(F)(F)F,
277,CNc1nc(Nc2ccc(C(=O)N3CC(C)OC(C)C3)cc2OC)ncc1C(F)(F)F,
278,CNc1nc(Nc2ccc(C(=O)N3CCC(C#N)CC3)cc2OC)ncc1C(F)(F)F,
279,CNc1nc(Nc2ccc(C(=O)N3CCN(CC(F)(F)F)CC3)cc2OC)ncc1C(F)(F)F,
280,CNc1nc(Nc2ccc(C(=O)N3CCC(OC)CC3)cc2OC)ncc1C(F)(F)F,
281,CNc1nc(Nc2ccc(C(=O)NCCOC)cc2OC)ncc1C(F)(F)F,
282,CNc1nc(Nc2ccc(C(=O)NC3CCN(C)CC3)cc2OC)ncc1C(F)(F)F,
283,CNc1nc(Nc2ccc(C(=O)NC3CCC(F)(F)CC3)cc2OC)ncc1C(F)(F)F,
284,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2COC2)ncc1Cl,
285,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OCC2CC2)ncc1C(F)(F)F,
286,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OCC2CCC2)ncc1C(F)(F)F,
287,CCN(C)C(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NC)n2)c(OC)c1,
288,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1Br,
289,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2C2CC2)ncc1C(F)(F)F,
290,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2Br)ncc1C(F)(F)F,
291,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,
292,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,
293,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCOCC3)cc2OC)ncc1Cl,
294,COc1nc(Nc2cc(Cl)c(C(=O)N3CCOCC3)cc2OC)ncc1Br,
295,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1Cl,
296,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,
297,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)c(F)c2OC)ncc1C(F)(F)F,
298,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OCCF)ncc1C(F)(F)F,
299,COc1cc(C(=O)N2CCCC2)ccc1Nc1ncc(Cl)c(OC)n1,
300,CCOc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1ncc(C(F)(F)F)c(NC)n1,
301,CNc1nc(Nc2ccc(C(=O)N(C)CCOC)cc2OC)ncc1C(F)(F)F,
302,CCNc1nc(Nc2ccc(C(=O)N(C)CCOC)cc2OC)ncc1C(F)(F)F,
303,CNc1nc(Nc2cc(F)c(C(=O)N(C)CCOC)cc2OC)ncc1C(F)(F)F,
304,CCNc1nc(Nc2cc(F)c(C(=O)N(C)CCOC)cc2OC)ncc1C(F)(F)F,
305,CNc1nc(Nc2cc(OC)c(C(=O)N3CCC[C@H]3COC)cc2F)ncc1C(F)(F)F,
306,CCNc1nc(Nc2cc(OC)c(C(=O)N3CCC[C@H]3COC)cc2F)ncc1C(F)(F)F,
307,CCNc1nc(Nc2cc(OC)c(C(=O)N(CC)CCOC)cc2F)ncc1C(F)(F)F,
308,CCN(CCOC)C(=O)c1cc(OC)c(Nc2ncc(C(F)(F)F)c(NC)n2)cc1F,
309,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OCC)ncc1C(F)(F)F,
310,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(C)C)ncc1C(F)(F)F,
311,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)c(F)c2OC(C)C)ncc1C(F)(F)F,
312,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(F)(F)F)ncc1C(F)(F)F,
313,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(F)(F)F)ncc1C(F)(F)F,
