実施例,SMILES,結合IC50[nM]DDR1
29,Cc1cccc2c1C1(CCN(C(=O)c3ccc4[nH]ncc4c3)CC1)C(=O)N2CC(=O)N(C)C(C)(C)C,397.5
30,Cc1cccc2c1C1(CCN(C(=O)c3ccc4[nH]ncc4c3)CC1)C(=O)N2CC(=O)N[C@@H](C)C(F)(F)F,597
31,O=C(CN1C(=O)C2(CCN(C(=O)c3cc4cn[nH]c4cn3)CC2)c2c1ccc(Cl)c2Cl)NCC(F)(F)F,55.7
32,O=C(CN1C(=O)C2(CCN(C(=O)c3cc4cn[nH]c4cn3)CC2)c2c1ccc(F)c2Cl)NCC(F)(F)F,84.9
33,O=C(CN1C(=O)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)c2c1ccc(F)c2Cl)NCC(F)(F)F,29.5
34,O=C(CN1C(=O)C2(CCN(C(=O)c3ccc4[nH]ncc4n3)CC2)c2c1ccc(Cl)c2Cl)NCC(F)(F)F,22.6
35,O=C(CN1C(=O)C2(CCN(C(=O)c3ccc4[nH]ncc4n3)CC2)c2c1ccc(F)c2Cl)NCC(F)(F)F,29.6
36,O=C(CN1C(=O)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)c2c1ccc(F)c2Cl)NCC(F)(F)F,48.4
37,O=C(CN1C(=O)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)c2c1ccc(Cl)c2Cl)NCC(F)(F)F,43.9
38,O=C(CN1C(=O)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)c2c1cccc2C(F)(F)F)NCC(F)(F)F,1354.5
39,Cc1cccc2c1C1(CCN(C(=O)c3ccc4[nH]ncc4c3)CC1)C(=O)N2CC(=O)N1CC(O)C(C)(C)C1,410.7
40,Cc1cccc2c1C1(CCN(C(=O)c3ccc4[nH]ncc4c3)CC1)C(=O)N2CC(=O)N1CC(O)C(F)(F)C1,528.1
41,Cc1cccc2c1C1(CCN(C(=O)c3ccc4[nH]ncc4c3)CC1)C(=O)N2CC(=O)N1CCC(F)(F)C1,95.2
42,Cc1cccc2c1C1(CCN(C(=O)c3ccc4[nH]ncc4c3)CC1)C(=O)N2CC(=O)N1CCC(C)(F)C1,122.6
43,Cc1cccc2c1C1(CCN(C(=O)c3ccc4[nH]ncc4c3)CC1)C(=O)N2CC(=O)N1CCC(O)(C(F)(F)F)C1,110.1
44,,260.6
45,,44.3
46,,40.7
47,,53.3
48,,2199.2
49,,101.8
50,,89.5
51,,278.9
52,,204.5
53,,4503.6
54,,449.6
55,,620.3
56,,159.3
85,,46.2
86,,90.5
87,,66.8
88,,35.4
89,,512.2
90,,80.9
91,,431.1
92,,1119
93,,963.7
94,,44.6
95,,26.8
96,,44.5
97,,130.8
98,,18.2
99,,30.1
100,,27.9
101,,34.7
102,,53
103,,50.3
104,,211.95
105,,3429.55
106,,31.8
107,,18.1
108,,134.9
109,,97.9
110,,49.6
111,,60.1
112,,36.1
141,,34.2
142,,80.4
143,,64.5
144,,21.2
145,,57.2
146,,48.4
147,,96.1
148,,47.2
149,,102.5
150,,226.55
151,,160.75
152,,40
153,,53.8
154,,119.7
155,,38.3
156,,18.5
157,,34.4
158,,64.9
159,,30.5
160,,15.8
161,,263.6
162,,110
163,,3019.2
164,,2342.8
165,,2947
166,,799
167,,47593
168,,26.8
,,
,,
