実施例No.,SMILES,結合IC50DDR1[nM]
31,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)NC,1450.3
32,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1cc(Cl)ccc1F)CN2c1ccccc1,3105.7
33,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(Cc1nc(C3CC3)no1)CN2c1ccccc1,13.8
34,Cc1nc(CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)cs1,114.2
35,Cn1ccnc1CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,896.9
36,Cn1nccc1CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,7930.7
37,Cc1noc(CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)n1,311.5
38,Cc1nnc(CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)o1,2650.2
39,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(Cc1nc(-c3ccc(F)cc3)no1)CN2c1ccccc1,155.2
40,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(Cc1nnc(C3CC3)s1)CN2c1ccccc1,64.1
41,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N[C@@H]1CNC[C@H]1c1ccccc1,472.6
42,Cc1noc([C@@H]2CNC[C@H]2NC(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)n1,3317.2
43,CC1N(CC(=O)NCC(F)(F)F)C(=O)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)N1c1ccccc1,54.7
44,Cc1oc(C(C)(C)C)nc1CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,158.2
45,CC(C)(C)c1nsc(CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)n1,183.7
46,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N[C@H]1CNC[C@@H]1c1ccccc1,577.3
47,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCC(C(F)(F)F)C1,23.8
48,CCn1ccc(N2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)n1,2107.3
49,CCn1cc(N2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)cn1,3862.4
50,Cc1cc(N2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)nn1C,289.2
51,Cc1cc(N2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)n(C)n1,2308.1
52,Cc1nc(C)c(N2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)s1,1346.3
53,N#CC1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)C1,80.7
54,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N1CCC(n2cncn2)C1,310.7
55,CC1(C)CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)C1,24.4
56,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N1CC(F)(F)C1,130.9
57,CN(C)[C@@H]1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)C1,222.5
58,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N1C[C@@H]2CN(Cc3ccccc3)C[C@@H]2C1,806.7
59,COC[C@H]1CCCN1C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,368.7
60,O=C(c1cnc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(C1CCN(c3ccccc3)C1=O)CN2c1ccccc1,59.5
