実施例No.,SMILES,結合IC50 DDR1[nM]
151,CN1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)C[C@@H]1C(F)(F)F,110.2
152,CN1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)C[C@H]1C(F)(F)F,29.5
153,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CCN[C@H](C(F)(F)F)C1)CN2c1ccccc1,41.9
154,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CCN[C@H](C(F)(F)F)C1)CN2c1ccccc1,46.7
155,CN(C)CCN(CC(F)(F)F)C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,75.3
156,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N(CCO)CC(F)(F)F,36.3
157,NC(=O)C1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)C1,1559.4
158,CC(C)(CO)NC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,143.9
159,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)NC1(C(F)(F)F)CC1,17.2
160,CC(C)(C#N)NC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,33.2
161,CC(C)(CO)NC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O,549.6
162,Cc1cc(C(=O)N2CCC3(CC2)C(=O)N(CC(=O)NCC(F)(F)F)CN3c2ccccc2)cc2cn[nH]c12,17.8
163,O=C(CN1CN(c2cccc(Br)c2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,59.9
164,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CCNCC1C(F)(F)F)CN2c1ccccc1,196.8
165,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(CC(=O)N1CCN(Cc3ccccc3)CC1C(F)(F)F)CN2c1ccccc1,517.7
166,CN1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)C(C(F)(F)F)C1,83.5
167,COC(=O)[C@@H]1CC(F)(F)CN1C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O,106.4
168,O=C(CN1CN(c2cccc(C(F)(F)F)c2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,2658.6
169,O=C(CN1CN(c2cc(F)cc(Cl)c2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,36.9
170,N#Cc1cccc(N2CN(CC(=O)NCC(F)(F)F)C(=O)C23CCN(C(=O)c2cnc4[nH]ncc4c2)CC3)c1,854.5
