貨例編號,SMILES,Pim1 IC50 μM,Pim2 IC50 μM,Pim3 IC50 μM,KMS11 EC50 μM
1,N[C@@H]1C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H](C)[C@@H]1n1ccnn1,0.00006,0.00253,0.00252,0.094
2,COCC(=O)N[C@H]1[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00036,0.03007,0.01572,1.008
3,CC(C)C(=O)N[C@H]1[C@@H](N)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1C,0.00140,0.04942,0.03053,1.130
4,N[C@@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H](C)[C@@H]1n1cc(-c2ccsc2)nn1,0.00006,0.00428,0.00154,0.148
5,N[C@@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H](C)[C@@H]1n1ccnn1,0.00005,0.00124,0.00640,0.033
6,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)/C1=N\O,0.00024,0.00681,0.01190,0.040
7,c1(C)cn([C@H]2[C@@H](N)CN(c3ccncc3NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)C[C@H]2C)nn1,0.00005,0.00139,0.00886,0.410
8,CCOC(=O)N[C@H]1[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00035,0.02050,0.01423,0.499
9,CC(C)OC(=O)N[C@@H]1[C@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00040,0.05937,0.01778,0.670
10,CCC(=O)N[C@H]1[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00057,0.03407,0.02088,1.833
11,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)C1=O,0.00038,0.03331,0.01956,4.179
12,CO/N=C1\[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00021,0.01607,0.01572,0.716
13,CO/N=C1/[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00009,0.00482,0.00509,0.507
14,COCc1cn([C@H]2[C@@H](N)CN(c3ccncc3NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)C[C@H]2C)nn1,0.00004,0.00172,0.00102,0.045
15,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@H]1S(=O)(=O)CCO,0.00007,0.00356,0.00207,0.146
16,CS(=O)(=O)N[C@@H]1[C@@H](N)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1C,0.17209,21.7,8.3,>10
17,CS(=O)(=O)N[C@@H]1[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00256,0.38852,0.15521,8.260
18,N[C@H]1[C@@H](C)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00005,0.00086,0.00090,0.267
19,C[C@@H]1CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3P)n2)C[C@H](N)[C@@H]1NS(C)(=O)=O,0.00017,0.01259,0.00321,0.827
20,COCCS(=O)(=O)[C@@H]1[C@H](C)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3P)n2)C[C@H]1N,0.00014,0.00668,0.00678,0.476
21,CC(=O)N[C@H]1[C@@H](C)CN(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00005,0.00766,0.00902,0.756
22,COC(=O)N[C@H]1[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00037,0.01388,0.01165,5.030
23,COC(=O)N[C@H]1[C@@H](N)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1C,0.02746,1.4,1.0,>10
24,CC(=O)N[C@H]1[C@@H](N)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1C,0.06819,2.7,1.7,>10
25,CC(=O)N[C@H]1[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00063,0.02504,0.01580,2.867
26,CS(=O)(=O)N[C@H]1[C@@H](N)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1C,0.14276,7.1,4.8,>10
27,C[C@H]1C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@@H](N)[C@H]1NS(C)(=O)=O,0.00212,0.04198,0.05333,1.751
28,[N-]=[N+]=N[C@H]1[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00680,0.23750,0.15437,4.874
29,[N-]=[N+]=N[C@H]1[C@@H](C)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1N,0.00020,0.00944,0.00888,0.768
30,CC(=O)N[C@@H]1[C@@H](N)C[C@@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C[C@H]1C,0.00072,0.07280,0.04426,9.686
