Ex. No,SMILES,Binding IC50 DDR1 [nM]
1,O=C(CN1CN(c2ccc(F)cc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,436.1
2,O=C(CN1CN(c2cccc(F)c2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,12.7
3,O=C(CN1CN(c2ccccc2F)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,209.9
4,O=C(CN1CN(c2ccc(Cl)c(Cl)c2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,504.3
5,O=C(CN1CN(c2ccc(Cl)cc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,1040.1
6,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)Nc1ccccc1,10.6
7,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,15.5
8,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)NCCN1CCOCC1,39.7
9,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N[C@H]1C[C@@H]1c1ccccc1,10.9
10,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)N1CCOCC1,43
11,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)Nc1cccnc1,1456.4
12,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)Nc1ccncc1,778.8
13,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)Nc1cccc(N2CCOCC2)c1,946.8
14,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)Nc1cccc(OC(F)(F)F)c1,922.8
15,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O)Nc1ccccn1,15.4
16,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4cn[nH]c4c3)CC2)C1=O)Nc1ccccc1,496.5
17,Nc1n[nH]c2cc(C(=O)N3CCC4(CC3)C(=O)N(CC(=O)NCC(F)(F)F)CN4c3ccccc3)ccc12,83.3
18,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4nnnn4c3)CC2)C1=O)NCC(F)(F)F,7988
19,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4cn[nH]c4c3)CC2)C1=O)NCC(F)(F)F,258.4
20,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cc4cn[nH]c4cn3)CC2)C1=O)NCC(F)(F)F,43.7
21,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4cncn4c3)CC2)C1=O)NCC(F)(F)F,54.6
22,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NCC(F)(F)F,17.3
23,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)Nc1ccccc1,19.7
24,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)Nc1ccccn1,49.4
25,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]nnc4c3)CC2)C1=O)N1CCOCC1,8858.9
26,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]nnc4c3)CC2)C1=O)NCC(F)(F)F,345.4
27,CN(CC(F)(F)F)C(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O,29.6
28,CN1CCN(C(=O)CN2CN(c3ccccc3)C3(CCN(C(=O)c4cnc5[nH]ncc5c4)CC3)C2=O)CC1,1190.2
29,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)N1CCS(=O)(=O)CC1,2616.5
30,O=C(CN1CN(c2ccccc2)C2(CCN(C(=O)c3cnc4[nH]ncc4c3)CC2)C1=O)NC12CC3CC(CC(C3)C1)C2,27.1
31,CNC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,1450.3
32,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(c1cc(Cl)ccc1F)CN2c1ccccc1,3105.7
33,O=C(c1ccc2[nH]ncc2c1)N1CCC2(CC1)C(=O)N(Cc1nc(C3CC3)no1)CN2c1ccccc1,13.8
34,Cc1nc(CN2CN(c3ccccc3)C3(CCN(C(=O)c4ccc5[nH]ncc5c4)CC3)C2=O)cs1,114.2
35,Cn1ccnc1CN1CN(c2ccccc2)C2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)C1=O,896.9
