Compound Number,SMILES,GR Bind IC50 (nM),GILZ EC50,GILZ Max,MDCK Permeability (cm x 10^-6/sec)
5,CCC(=O)O[C@]1(C(=O)SCCCCP(=O)(O)O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,160.4,>10000,24% (at 100 µM),1.84
6,[C@@H]1(C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(*)[C@@]3(F)[C@@H](O)C[C@]2(*)[C@@]1(OC(=O)CC)C(=O)SCCOCCOCCP(=O)(O)O,0.32,10000,40% (at 10 µM),n/a
7,CCC(=O)O[C@]1(C(=O)SCCCCCCP(=O)(O)O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.45,6450,64% (at 10 µM),2
8,[C@H]1(C)C[C@H](F)C2=CC(=O)C=C[C@](*)(F)[C@@]23[C@@H](O)C[C@]2(C)[C@@H](C[C@H](*)[C@]2(O)C(=O)SCCCCCCCCCCP(=O)(O)O)[C@H]3C1,0.25,970,66% (at 10 µM),2.8
9,[C@@H]1(C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCCOCCOCCP(=O)(O)O,1.67,>10000,14.5% (at 10 µM),n/a
10,[C@@H]1(C)C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(*)[C@@]3(F)[C@@H](O)C[C@]2(*)[C@@]1(O)C(=O)SCCCCCCP(=O)(O)O,1.99,>10000,17.3% (at 10 µM),1.9
11,[C@H]1(C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCCP(=O)(O)O,n/a,2865,81% (at 10 µM),n/a
12,[C@@H]1(C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)CC)C(=O)SCCP(=O)(O)O,162,6777,36% (at 10 µM),n/a
13,[C@@H]1(C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCCCP(=O)(O)O,1225,>10000,24% (at 10 µM),n/a
14,[C@@H]1(C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)CC)C(=O)SCCCP(=O)(O)O,18.1,>10000,15% (at 10 µM),<0.9
15,[C@@H]1(C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(*)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)S,0.1,3038,65% (at 10 µM),n/a
18,[C@@H]1(C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(*)[C@@]3(F)[C@@H](O)C[C@]2(*)[C@@]1(OC(=O)CCCCCCCCP(=O)(O)O)C(=O)SCF,0.14,1289,88% (at 10 µM),n/a
27,CCCC(O)O[C@@H]1C[C@@]2(C)[C@H]3C[C@H](O)[C@@]4(C)[C@H]5CC6=CC7C(=CN=[N+]7c7cccc(OCCCCCCP(=O)(O)O)c7)CC6[C@@H]5CC[C@H]4[C@@H]3C[C@]12C(=O)CO,2,2759,80% (at 10 µM),1.8
28,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=Cc6c(cnn6-c6cccc(OCCCCP(=O)(O)O)c6)C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,4.1,1267,101% (at 10 µM),1.6
29,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=Cc6c(cnn6-c6cccc(OCCCCCCCCCP(=O)(O)O)c6)C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,24.2,558,96% (at 10 µM),n/a
30,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=Cc6c(cnn6-c6ccc(OCCCCP(=O)(O)O)cc6)C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.8,1289,88% (at 10 µM),n/a
31,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=Cc6c(cnn6-c6ccc(OCCCCCCP(=O)(O)O)cc6)C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,3.9,4175,47% (at 10 µM),4.1
32,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=Cc6c(cnn6-c6ccc(OCCCCCCCCCP(=O)(O)O)cc6)C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,114.8,4154,86% (at 10 µM),n/a
