Example No.,SMILES,pIC50 (FRET),pIC50 (SPA),pIC50 IL-17 release
1,CS(=O)(=O)c1ccc2c(c1)CNC2C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,6.9,6.7,7
2,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,6.9,7.8,8
3,COC1(C(=O)N2Cc3cc(S(C)(=O)=O)ccc3C2C(=O)Nc2ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc2)CC1,6.6,7.7,7.8
4,CNC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7.2,7.9,8.1
5,CS(=O)(=O)c1ccc2c(c1)CN(C(=O)CO)C2C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7.3,7.9,8
6,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7.4,8,—
7,COC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7.3,7.9,—
8,COCC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7.3,7.9,—
9,CS(=O)(=O)c1ccc2c(c1)CN(C(=O)CCC(=O)O)C2C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7,8,—
10,CS(=O)(=O)c1ccc2c(c1)CN(C(=O)CN)C2C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7.1,7.6,—
11,CS(=O)(=O)c1ccc2c(c1)CN(C(=O)CCN)C2C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,6.8,7.6,—
12,N#CC(c1ccc(NC(=O)C2NCc3cc(S(=O)(=O)CC4CC4)ccc32)cc1)(C(F)(F)F)C(F)(F)F,7,8.1,7.6
13,CC(=O)N1Cc2cc(S(=O)(=O)CC3CC3)ccc2C1C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7.2,8.2,8.3
14,CCS(=O)(=O)c1ccc2c(c1)CN(C(C)=O)C2C(=O)Nc1ccc(C(C#N)(C(F)(F)F)C(F)(F)F)cc1,7.4,8.3,8.6
15,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(N2CCCC2)(C(F)(F)F)C(F)(F)F)cc1,7.4,8.3,8.4
16,CCCNC(c1ccc(NC(=O)C2c3ccc(S(C)(=O)=O)cc3CN2C(C)=O)cc1)(C(F)(F)F)C(F)(F)F,7.4,8.2,—
17,COCCNC(c1ccc(NC(=O)C2c3ccc(S(C)(=O)=O)cc3CN2C(C)=O)cc1)(C(F)(F)F)C(F)(F)F,7,7.5,7.7
18,COC1(CNC(F)(c2ccc(NC(=O)C3c4ccc(S(C)(=O)=O)cc4CN3C(C)=O)cc2)C(F)(F)F)CC1,6.7,7.3,7.6
19,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(NC2COC2)(C(F)(F)F)C(F)(F)F)cc1,7,6.9,7.3
20,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(NC2CCOCC2)(C(F)(F)F)C(F)(F)F)cc1,7,7,7.3
21,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(NCCO)(C(F)(F)F)C(F)(F)F)cc1,6.9,6.5,7
22,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(NCCCS(C)(=O)=O)(C(F)(F)F)C(F)(F)F)cc1,6,6,6.1
23,CC(=O)N1Cc2cc(S(=O)(=O)O)ccc2C1C(=O)Nc1ccc(C(N2CCOCC2)(C(F)(F)F)C(F)(F)F)cc1,7.4,7.7,7.8
24,CNC(c1ccc(NC(=O)C2c3ccc(S(C)(=O)=O)cc3CN2C(C)=O)cc1)(C(F)(F)F)C(F)(F)F,7.3,7.5,—
25,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(N(C)C)(C(F)(F)F)C(F)(F)F)cc1,7.4,8.2,—
26,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(NCCS(C)(=O)=O)(C(F)(F)F)C(F)(F)F)cc1,6,6.2,—
27,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(NCCOC(C)C)(C(F)(F)F)C(F)(F)F)cc1,<4.5,8.1,—
28,COC(c1ccc(NC(=O)C2c3ccc(S(C)(=O)=O)cc3CN2C(C)=O)cc1)(C(F)(F)F)C(F)(F)F,7.4,8.1,—
29,CC(=O)N1Cc2cc(S(C)(=O)=O)ccc2C1C(=O)Nc1ccc(C(n2ccnn2)(C(F)(F)F)C(F)(F)F)cc1,7,7.4,—
