Example nr.,SMILES,IC50 (nM)
Example 1,Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1,2.6
Example 2,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,4.1
Example 3,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC(F)(F)F)nc1-2,0.63
Example 4,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(N4CCNCC4)cc3OC)nc1-2,0.49
Example 5,COc1ccc(Oc2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F,0.65
Example 6,COc1ccc(Oc2cc(NCC3COC3)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)cc1F,0.6
Example 7,Cc1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)-n1ccc(C(=O)Nc3c(C)cccc3C)c1CC2,0.7
Example 8,,0.6
Example 9,COCCOCCOCCn1nc(C)c(NC(=O)c2ccn3c2CCc2cnc(Nc4ccc(-c5c(C)nn(C)c5C)cc4OC)nc2-3)c1C,0.73
Example 10,COCCOCCOCCn1nc(C)c(NC(=O)c2ccn3c4c(cnc23)CCc2cnc(Nc3ccc(N5CCN(C)CC5)cc3OC)nc2-4)c1C,0.93
Example 11,CCc1cccc(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc1-2,0.6
Example 12,CCc1n[nH]c(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC(F)F)nc1-2,0.97
Example 13,CCc1nn(CCOCCOCCOC)c(CC)c1NC(=O)c1ccn2c3c(cnc12)CCc1cnc(Nc2ccc(N4CCN(C(=O)COC)CC4)cc2OC)nc1-3,0.43
Example 14,CCc1nn(CCOCCOC)c(CC)c1NC(=O)c1ccn2c3c(cnc12)CCc1cnc(Nc2ccc(N4CCN(C)CC4)cc2OC)nc1-3,0.98
Example 15,COCCn1nc(C)c(NC(=O)c2ccn3c2CCc2cnc(Nc4ccc(N5CCNCC5)cc4OC)nc2-3)c1C,1.1
Example 16,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-n1ccc(C(=O)Nc3c(C)n[nH]c3C)c1CC2,1
Example 17,COCC(=O)N1CCN(c2ccc(Nc3ncc4c(n3)-n3ccc(C(=O)Nc5c(C)cccc5C)c3CC4)c(OC)c2)CC1,1
Example 18,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2ccc3c(C(=O)Nc4c(C)cccc4C)ccn3c2n1,1.4
Example 19,CCOCCOCCn1nc(C)c(NC(=O)c2ccn3c2CCc2cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc2-3)c1C,1.14
Example 20,COCCOCCOCCn1nc(C)c(NC(=O)c2ccn3c4c(cnc23)CCc2cnc(Nc3ccc(N5CCN(C(=O)COC)CC5)cc3OC)nc2-4)c1C,0.62
Example 21,CCc1nn(CCOCCOC)c(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C(=O)C5(C)CNC5)CC4)cc3OC)nc1-2,0.96
Example 22,CCNCC(=O)N1CCN(c2ccc(Nc3ncc4c(n3)-n3ccc(C(=O)Nc5c(CC)nn(CCOCCOCC)c5CC)c3CC4)c(OC)c2)CC1,0.71
Example 23,CCOCCOCCn1nc(CC)c(NC(=O)c2ccn3c2CCc2cnc(Nc4ccc(N5CCN(C(=O)COC)CC5)cc4OC)nc2-3)c1CC,0.41
Example 24,CCc1nn(CCOCCOCCOC)c(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc1-2,0.91
Example 25,CCNCC(=O)N1CCN(c2ccc(Nc3ncc4c(n3)-n3ccc(C(=O)Nc5c(CC)nn(CCOCCOCCOC)c5CC)c3CC4)c(OC)c2)CC1,0.43
Example 26,CCc1nn(CCOCCOC)c(CC)c1NC(=O)c1ccn2c3c(cnc12)CCc1cnc(Nc2ccc(N4CCN(C(=O)[C@H]5CCN5)CC4)cc2OC)nc1-3,0.66
Example 27,CCNCC(=O)N1CCN(c2ccc(Nc3ncc4c(n3)-n3ccc(C(=O)Nc5c(C)cccc5C)c3CC4)c(OC)c2)CC1,0.41
Example 28,COc1ccc(Oc2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F,0.79
Example 29,COc1cc(S(C)(=O)=O)ccc1Nc1nc2ccc(-c3ccc(NC(=O)[C@@H](C)c4ccc(F)cc4)cc3)cn2n1,2.55
Example 30,COc1cc(N2CCC(O)CC2)ccc1Nc1cc(Nc2ccccc2S(=O)(=O)C(C)C)c2cc[nH]c2n1,37.5
Example 31,CC(C)(C)Nc1nc(Nc2ccc(C(N)=O)cc2)cc(N)c1C#N,7
