Example nr.,SMILES,Wild type3,Mutant3,Δ pIC50,significance
Example 1,Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1,6.15,6.78,-0.63,0.005
Example 2,CC(C)CNc1nccn2c(-c3ccc(C(=O)NC4CC4)cc3)cnc12,5.73,5.98,-0.25,0.036
Example 3,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC(F)(F)F)nc1-2,5.68,6.01,-0.33,0.024
Example 4,CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(N4CCNCC4)cc3OC)nc1-2,7.21,7.64,-0.43,0.033
Example 5,COc1ccc(Oc2cc(NCC3CCOCC3)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F,7.06,7.6,-0.54,0.012
Example 6,COc1ccc(Oc2cc(NCC3COC3)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)cc1F,6.93,7.64,-0.71,0.0088
Example 7,Cc1cc(N2CCNCC2)ccc1Nc1ncc2c(n1)-n1ccc(C(=O)Nc3c(C)cccc3C)c1CC2,7.47,7.92,-0.45,0.026
Example 8,,7.38,7.96,-0.57,0.013
Example 9,COCCOCCOCCn1nc(C)c(NC(=O)c2ccn3c2CCc2cnc(Nc4ccc(-c5c(C)nn(C)c5C)cc4OC)nc2-3)c1C,7.5,8.18,-0.68,0.019
Example 10,COCCOCCOCCn1nc(C)c(NC(=O)c2ccn3c4c(cnc23)CCc2cnc(Nc3ccc(N5CCN(C)CC5)cc3OC)nc2-4)c1C,6.86,7.41,-0.55,0.014
Example 11,CCc1cccc(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc1-2,6.99,7.48,-0.49,0.027
Example 12,CCc1n[nH]c(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC(F)F)nc1-2,6.96,7.65,-0.69,0.0065
Example 13,CCc1nn(CCOCCOCCOC)c(CC)c1NC(=O)c1ccn2c3c(cnc12)CCc1cnc(Nc2ccc(N4CCN(C(=O)COC)CC4)cc2OC)nc1-3,7.82,8.6,-0.79,0.0071
Example 14,CCc1nn(CCOCCOC)c(CC)c1NC(=O)c1ccn2c3c(cnc12)CCc1cnc(Nc2ccc(N4CCN(C)CC4)cc2OC)nc1-3,7.47,8.01,-0.54,0.018
Example 15,COCCn1nc(C)c(NC(=O)c2ccn3c2CCc2cnc(Nc4ccc(N5CCNCC5)cc4OC)nc2-3)c1C,6.6,7.28,-0.69,0.0039
Example 16,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2c(n1)-n1ccc(C(=O)Nc3c(C)n[nH]c3C)c1CC2,6.46,7.22,-0.76,0.0046
Example 17,COCC(=O)N1CCN(c2ccc(Nc3ncc4c(n3)-n3ccc(C(=O)Nc5c(C)cccc5C)c3CC4)c(OC)c2)CC1,7.72,8.33,-0.61,0.017
Example 18,COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2ccc3c(C(=O)Nc4c(C)cccc4C)ccn3c2n1,7.53,8.13,-0.6,0.029
Example 19,CCOCCOCCn1nc(C)c(NC(=O)c2ccn3c2CCc2cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc2-3)c1C,7.2,7.72,-0.53,0.0093
Example 20,COCCOCCOCCn1nc(C)c(NC(=O)c2ccn3c4c(cnc23)CCc2cnc(Nc3ccc(N5CCN(C(=O)COC)CC5)cc3OC)nc2-4)c1C,7.28,7.9,-0.2,0.0087
Example 21,CCc1nn(CCOCCOC)c(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C(=O)C5(C)CNC5)CC4)cc3OC)nc1-2,7.19,7.98,-0.79,0.012
Example 22,CCNCC(=O)N1CCN(c2ccc(Nc3ncc4c(n3)-n3ccc(C(=O)Nc5c(CC)nn(CCOCCOCC)c5CC)c3CC4)c(OC)c2)CC1,7.7,8.34,-0.65,0.0091
Example 23,CCOCCOCCn1nc(CC)c(NC(=O)c2ccn3c2CCc2cnc(Nc4ccc(N5CCN(C(=O)COC)CC5)cc4OC)nc2-3)c1CC,7.97,8.55,-0.59,0.02
Example 24,CCc1nn(CCOCCOCCOC)c(CC)c1NC(=O)c1ccn2c1CCc1cnc(Nc3ccc(N4CCN(C)CC4)cc3OC)nc1-2,7.59,8.09,-0.5,0.025
Example 25,CCNCC(=O)N1CCN(c2ccc(Nc3ncc4c(n3)-n3ccc(C(=O)Nc5c(CC)nn(CCOCCOCCOC)c5CC)c3CC4)c(OC)c2)CC1,7.62,8.37,-0.75,0.0032
Example 26,CCc1nn(CCOCCOC)c(CC)c1NC(=O)c1ccn2c3c(cnc12)CCc1cnc(Nc2ccc(N4CCN(C(=O)[C@H]5CCN5)CC4)cc2OC)nc1-3,7.28,7.96,-0.68,0.0099
Example 27,CCNCC(=O)N1CCN(c2ccc(Nc3ncc4c(n3)-n3ccc(C(=O)Nc5c(C)cccc5C)c3CC4)c(OC)c2)CC1,7.6,8.17,-0.57,0.019
Example 28,COc1ccc(Oc2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F,7,7.47,-0.47,0.011
