Compound,SMILES,IC50 (pNPP) Eya3(ED),IC50 (pNPP) EYA3,IC50 (pNPP) PTP1B
1,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,11,8.3,53.8
1a,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,19.2,17.0,>150
1b,CCCCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,10.1,15.2,71.4
1c,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,,3.4,
1d,Cc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,,8.3,
1e,CC(O)Cc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1,,,13.8
1f,Cc1oc2ccccc2c1C(=O)c1ccc(O)c(I)c1,,17.5,
1g,CCc1oc2cc(O)ccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,,,27.2
1h,CCc1oc2ccc(O)cc2c1C(=O)c1cc(Br)c(O)c(Br)c1,,,40.8
1i,CC(O)c1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,,,41.9
1j,CCc1oc2ccc(O)cc2c1C(=O)c1ccc(O)cc1,,73.1,
1k,Cc1oc2ccccc2c1C(=O)c1ccc(O)cc1,,81.1,
